District name,District ID,Elected office,First name,Last name,Gender,Party name,Email,URL,Photo URL,Personal URL,Office type,Address line 1,Address line 2,Locality,Postal code,Province,Phone,Fax
,,Mayor,Jim,Watson,M,,Jim.Watson@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/mayor/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdq5/~edisp/wc020026_123477611.jpg,http://jimwatsonottawa.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2496,613-580-2509
Cumberland,19,Councillor,Stephen,Blais,M,,Stephen.Blais@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/s_blais/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdqw/~edisp/wc019996_123477639.jpg,http://www.stephenblais.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2489,613-580-2697
Innes,2,Councillor,Rainer,Bloess,M,,Rainer.Bloess@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/r_bloess/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdu2/~edisp/wc019999_123477645.jpg,www.rainerbloess.com,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2472,613-580-2512
Capital,17,Councillor,David,Chernushenko,M,,David.Chernushenko@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/d_chernushenko/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdu4/~edisp/wc019991_123477721.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2487,
College,8,Councillor,Rick,Chiarelli,M,,Rick.Chiarelli@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/r_chiarelli/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdu5/~edisp/wc019998_123477643.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2478,613-580-2518
Rideau-Rockcliffe,13,Councillor,Peter,Clark,M,,peter.clark@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/r_chiarelli/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdqx/~edisp/wc020015_123477649.jpg,www.peterdclark.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2483,613-580-2523
Gloucester-Southgate,10,Councillor,Diane,Deans,F,,Diane.Deans@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/d_deans/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdyx/~edisp/wc020030_123477719.jpg,,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2480,613-580-2520
Gloucester-South Nepean,22,Councillor,Steve,Desroches,M,,Steve.Desroches@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/s_desroches/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdyz/~edisp/wc019994_123477637.jpg,www.SteveDesroches.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2751,613-580-2761
Knoxdale Merivale,9,Councillor,Keith,Egli,M,,Keith.Egli@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/k_egli/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mduz/~edisp/wc020019_123477663.jpg,www.keithegli.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2479,613-580-2519
West Carleton-March,5,Councillor,Eli,El-Chantiry,M,,Eli.El-Chantiry@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/e_elchantiry/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mduy/~edisp/wc020024_123477713.jpg,www.eliel-chantiry.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2475,613-580-2515
Rideau Vanier,12,Councillor,Mathieu,Fleury,M,,Mathieu.Fleaury@ottawa.ca,http://ottawa.ca/en/city_hall/councilcommittees/mayor_council/councillors/m_fleury/index.html,http://ottawa.ca/cs/groups/content/@webottawa/documents/image/mdaw/mdyy/~edisp/wc020023_123477657.jpg,www.mathieufleury.ca,,110 Laurier Avenue West,,Ottawa,K1P 1J1,ON,613-580-2482,613-580-2522
